2022-08-31 15:16:21.061 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IColumnInfoMapper' and 'com.yyok.share.admin.generator.service.mapper.IColumnInfoMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.062 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IGenConfigMapper' and 'com.yyok.share.admin.generator.service.mapper.IGenConfigMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.062 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IDeptMapper' and 'com.yyok.share.admin.info.service.mapper.IDeptMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IDictInfoDetailMapper' and 'com.yyok.share.admin.info.service.mapper.IDictInfoDetailMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IDictInfoMapper' and 'com.yyok.share.admin.info.service.mapper.IDictInfoMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IJobMapper' and 'com.yyok.share.admin.info.service.mapper.IJobMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IUserAvatarMapper' and 'com.yyok.share.admin.info.service.mapper.IUserAvatarMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IUserMapper' and 'com.yyok.share.admin.info.service.mapper.IUserMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IKafkaMapper' and 'com.yyok.share.admin.kafka.service.mapper.IKafkaMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'ILogMapper' and 'com.yyok.share.admin.logging.service.mapper.ILogMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IVisitsMapper' and 'com.yyok.share.admin.monitor.service.mapper.IVisitsMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.063 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IQuartzJobMapper' and 'com.yyok.share.admin.quartz.service.mapper.IQuartzJobMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IQuartzLogMapper' and 'com.yyok.share.admin.quartz.service.mapper.IQuartzLogMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IAccountAvatarMapper' and 'com.yyok.share.admin.system.service.mapper.IAccountAvatarMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IAccountMapper' and 'com.yyok.share.admin.system.service.mapper.IAccountMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IAccountsRolesMapper' and 'com.yyok.share.admin.system.service.mapper.IAccountsRolesMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IDictDetailMapper' and 'com.yyok.share.admin.system.service.mapper.IDictDetailMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IDictMapper' and 'com.yyok.share.admin.system.service.mapper.IDictMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IResourceMapper' and 'com.yyok.share.admin.system.service.mapper.IResourceMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRoleMapper' and 'com.yyok.share.admin.system.service.mapper.IRoleMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.064 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesAbacMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesAbacMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.065 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesAclMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesAclMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.065 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesDeptsMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesDeptsMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.065 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesResourcesMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesResourcesMapper' mapperInterface. Bean already defined with the same name!
